t,S,I,R,C,beta,scen
89,0.708721,0.0388878,0.252391,0.291179,0.097469,3
90,0.706177,0.0370469,0.256777,0.293723,0.0946268,3
91,0.703836,0.0352143,0.26095,0.296064,0.0917847,3
92,0.701689,0.0333987,0.264912,0.298211,0.0889426,3
93,0.699725,0.0316079,0.268667,0.300175,0.0861005,3
94,0.697935,0.029849,0.272216,0.301965,0.0832583,3
95,0.696308,0.0281281,0.275564,0.303592,0.0804162,3
96,0.694834,0.0264508,0.278716,0.305066,0.0775741,3
97,0.693502,0.0248218,0.281676,0.306398,0.0747319,3
98,0.692303,0.023245,0.284452,0.307597,0.0718898,3
99,0.691227,0.0217239,0.287049,0.308673,0.0690477,3
100,0.690266,0.0202611,0.289473,0.309634,0.0662056,3
101,0.68941,0.0188587,0.291732,0.31049,0.0633634,3
102,0.68865,0.0175182,0.293832,0.31125,0.0605213,3
103,0.687978,0.0162406,0.295781,0.311922,0.0576792,3
104,0.687387,0.0150262,0.297586,0.312513,0.054837,3
105,0.68687,0.0138752,0.299255,0.31303,0.0519949,3
106,0.686418,0.0127872,0.300794,0.313482,0.0491528,3
107,0.686027,0.0117613,0.302212,0.313873,0.0463106,3
108,0.685689,0.0107966,0.303514,0.314211,0.0434685,3
109,0.6854,0.00989174,0.304708,0.3145,0.0406264,3
110,0.685153,0.00904504,0.305801,0.314747,0.0377843,3
111,0.684945,0.00825475,0.3068,0.314955,0.0349421,3
112,0.683616,0.00860974,0.307774,0.316284,0.231049,3
113,0.682229,0.00898143,0.30879,0.317671,0.231049,3
114,0.680784,0.00936611,0.30985,0.319116,0.231049,3
115,0.679282,0.00976393,0.310954,0.320618,0.231049,3
116,0.677719,0.0101751,0.312106,0.322181,0.231049,3
117,0.676095,0.0105996,0.313306,0.323805,0.231049,3
118,0.674407,0.0110376,0.314556,0.325493,0.231049,3
119,0.672654,0.0114891,0.315857,0.327246,0.231049,3
120,0.670835,0.0119542,0.317211,0.329065,0.231049,3
121,0.668948,0.0124328,0.318619,0.330952,0.231049,3
122,0.666991,0.0129248,0.320084,0.332909,0.231049,3
