t,S,I,R,C,beta,scen
89,0.549493,0.0822891,0.368218,0.450407,0.160046,3
90,0.542469,0.0799421,0.377589,0.457431,0.158535,3
91,0.535801,0.0775146,0.386684,0.464099,0.157025,3
92,0.529481,0.0750238,0.395495,0.470419,0.155514,3
93,0.523499,0.0724859,0.404016,0.476401,0.154003,3
94,0.517843,0.0699161,0.412241,0.482057,0.152492,3
95,0.512503,0.0673284,0.420168,0.487397,0.150982,3
96,0.507468,0.0647359,0.427796,0.492432,0.149471,3
97,0.502725,0.0621502,0.435125,0.497175,0.14796,3
98,0.498262,0.0595822,0.442156,0.501638,0.14645,3
99,0.494067,0.0570412,0.448892,0.505833,0.144939,3
100,0.490128,0.0545359,0.455336,0.509772,0.143428,3
101,0.486433,0.0520737,0.461493,0.513467,0.141917,3
102,0.48297,0.0496611,0.467369,0.51693,0.140407,3
103,0.479727,0.0473037,0.472969,0.520173,0.138896,3
104,0.476694,0.045006,0.4783,0.523206,0.137385,3
105,0.473858,0.0427721,0.48337,0.526042,0.135875,3
106,0.47121,0.0406049,0.488185,0.52869,0.134364,3
107,0.468739,0.0385071,0.492754,0.531161,0.132853,3
108,0.466436,0.0364803,0.497084,0.533464,0.131343,3
109,0.464289,0.0345259,0.501185,0.535611,0.129832,3
110,0.462291,0.0326446,0.505064,0.537609,0.128321,3
111,0.460433,0.0308368,0.50873,0.539467,0.12681,3
112,0.458706,0.0291024,0.512191,0.541194,0.1253,3
113,0.457103,0.0274408,0.515457,0.542797,0.123789,3
114,0.455614,0.0258515,0.518534,0.544286,0.122278,3
115,0.454235,0.0243331,0.521432,0.545665,0.120768,3
116,0.452957,0.0228846,0.524159,0.546943,0.119257,3
117,0.451773,0.0215045,0.526722,0.548127,0.117746,3
118,0.450679,0.0201911,0.52913,0.549221,0.116236,3
119,0.449668,0.0189427,0.53139,0.550232,0.114725,3
120,0.448734,0.0177575,0.533509,0.551166,0.113214,3
121,0.447872,0.0166334,0.535495,0.552028,0.111703,3
122,0.447077,0.0155686,0.537354,0.552823,0.110193,3
123,0.446345,0.0145608,0.539094,0.553555,0.108682,3
124,0.445672,0.0136081,0.54072,0.554228,0.107171,3
125,0.445052,0.0127083,0.54224,0.554848,0.105661,3
126,0.444482,0.0118592,0.543659,0.555418,0.10415,3
127,0.443959,0.0110589,0.544982,0.555941,0.102639,3
