t,S,I,R,C,beta,scen
89,0.616097,0.0626683,0.321234,0.383803,0.1444,41
90,0.610621,0.0610015,0.328378,0.389279,0.1444,41
91,0.605339,0.0593329,0.335329,0.394561,0.1444,41
92,0.600247,0.0576667,0.342087,0.399653,0.1444,41
93,0.59534,0.0560068,0.348653,0.40456,0.1444,41
94,0.590616,0.054357,0.355027,0.409284,0.1444,41
95,0.587464,0.0514011,0.361135,0.412436,0.101075,41
96,0.584504,0.0485872,0.366909,0.415396,0.101075,41
97,0.581719,0.0459141,0.372367,0.418181,0.101075,41
98,0.579101,0.0433762,0.377523,0.420799,0.101075,41
99,0.576638,0.0409681,0.382394,0.423262,0.101075,41
100,0.574322,0.0386843,0.386993,0.425578,0.101075,41
101,0.572144,0.0365196,0.391336,0.427756,0.101075,41
102,0.570096,0.0344686,0.395436,0.429804,0.101075,41
103,0.568169,0.0325263,0.399304,0.431731,0.101075,41
104,0.566358,0.0306876,0.402955,0.433542,0.101075,41
105,0.564654,0.0289477,0.406398,0.435246,0.101075,41
106,0.563051,0.0273019,0.409647,0.436849,0.101075,41
107,0.561544,0.0257457,0.41271,0.438356,0.101075,41
108,0.560127,0.0242745,0.415598,0.439773,0.101075,41
109,0.558794,0.0228843,0.418322,0.441106,0.101075,41
110,0.55754,0.0215708,0.420889,0.44236,0.101075,41
111,0.556361,0.0203302,0.423308,0.443539,0.101075,41
112,0.555252,0.0191588,0.425589,0.444648,0.101075,41
113,0.55421,0.0180529,0.427738,0.44569,0.101075,41
114,0.553229,0.0170091,0.429762,0.446671,0.101075,41
115,0.552306,0.0160241,0.43167,0.447594,0.101075,41
116,0.551812,0.0147419,0.433446,0.448088,0.05775,41
117,0.551362,0.0135586,0.43508,0.448538,0.05775,41
118,0.550948,0.01247,0.436582,0.448952,0.05775,41
119,0.550567,0.0114685,0.437964,0.449333,0.05775,41
120,0.550217,0.0105473,0.439235,0.449683,0.05775,41
121,0.549896,0.00969984,0.440404,0.450004,0.05775,41
122,0.549601,0.00892032,0.441479,0.450299,0.05775,41
123,0.549329,0.00820332,0.442468,0.450571,0.05775,41
124,0.54908,0.00754384,0.443377,0.45082,0.05775,41
